epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,24328.5,1.91971,1.03968,1.39133,0.85115,0.7977,0.86887,0.47091,1.97237,0.83891,1.41072,0.0005941,0.0005941,0.0005941
43,24902.4,1.92267,1.03016,1.39514,0.85645,0.80772,0.87532,0.47809,1.97576,0.82897,1.4065,0.0005842,0.0005842,0.0005842
44,25476.4,1.91122,1.02213,1.38364,0.85879,0.80084,0.87507,0.4764,1.96665,0.82617,1.40325,0.0005743,0.0005743,0.0005743
45,26055.3,1.89938,1.00892,1.38201,0.84893,0.81002,0.87676,0.47639,1.96271,0.81891,1.40031,0.0005644,0.0005644,0.0005644
46,26629.9,1.90727,1.01925,1.38225,0.86715,0.80365,0.87905,0.47569,1.9659,0.82145,1.40188,0.0005545,0.0005545,0.0005545
47,27210.4,1.89872,1.00401,1.37732,0.85618,0.8106,0.87856,0.47428,1.96669,0.80962,1.39941,0.0005446,0.0005446,0.0005446
48,27785.6,1.88891,0.99916,1.37562,0.85775,0.81835,0.87972,0.47811,1.95543,0.80739,1.39782,0.0005347,0.0005347,0.0005347
49,28361.9,1.89125,0.99363,1.37298,0.87087,0.81447,0.88224,0.4779,1.96035,0.8091,1.39651,0.0005248,0.0005248,0.0005248
50,28934.8,1.88269,0.98535,1.3718,0.85766,0.83138,0.88381,0.48264,1.95334,0.80561,1.39158,0.0005149,0.0005149,0.0005149
51,29501.6,1.87666,0.981,1.36941,0.85898,0.8308,0.88515,0.48171,1.95083,0.80149,1.39013,0.000505,0.000505,0.000505
52,30072.8,1.87176,0.97747,1.3605,0.85752,0.82591,0.88583,0.48455,1.94267,0.79837,1.38597,0.0004951,0.0004951,0.0004951
53,30639.5,1.86645,0.97771,1.36076,0.86303,0.82336,0.88701,0.48688,1.93531,0.7937,1.38596,0.0004852,0.0004852,0.0004852
54,31203.8,1.85825,0.96475,1.35492,0.86733,0.81704,0.88453,0.48855,1.93742,0.78926,1.38683,0.0004753,0.0004753,0.0004753
55,31768.4,1.85652,0.95505,1.35447,0.86442,0.82725,0.88782,0.4891,1.94082,0.78877,1.38957,0.0004654,0.0004654,0.0004654
56,32334.1,1.85109,0.95796,1.35268,0.87257,0.81844,0.88939,0.48888,1.93484,0.78381,1.38568,0.0004555,0.0004555,0.0004555
57,32900.3,1.848,0.95263,1.34641,0.87252,0.82415,0.89139,0.49215,1.92949,0.78019,1.38113,0.0004456,0.0004456,0.0004456
58,587.097,1.82673,0.93031,1.34183,0.87761,0.81393,0.8913,0.49396,1.9273,0.77932,1.37691,0.0004357,0.0004357,0.0004357
59,1171.47,1.83662,0.93892,1.34527,0.87337,0.82384,0.89152,0.49437,1.92503,0.77655,1.37558,0.0004258,0.0004258,0.0004258
60,1755.8,1.83858,0.9403,1.34461,0.86216,0.82876,0.89118,0.49543,1.92416,0.77861,1.37526,0.0004159,0.0004159,0.0004159
61,2336.04,1.83343,0.9364,1.3412,0.8607,0.83015,0.89068,0.49626,1.92393,0.77627,1.37532,0.000406,0.000406,0.000406
62,2895.69,1.82493,0.92741,1.33548,0.8676,0.83199,0.89354,0.49602,1.92299,0.77377,1.37433,0.0003961,0.0003961,0.0003961
63,3455.72,1.82672,0.9244,1.33517,0.87081,0.83285,0.89399,0.49748,1.92044,0.77146,1.37155,0.0003862,0.0003862,0.0003862
64,4031.4,1.8179,0.91776,1.33579,0.87291,0.83237,0.89298,0.49822,1.92266,0.77164,1.37217,0.0003763,0.0003763,0.0003763
65,4614.62,1.81956,0.91897,1.33159,0.87302,0.83752,0.89418,0.49877,1.92208,0.76941,1.3714,0.0003664,0.0003664,0.0003664
66,5192.16,1.81708,0.91425,1.32988,0.87497,0.83882,0.89611,0.50067,1.91835,0.76638,1.36888,0.0003565,0.0003565,0.0003565
67,5776.32,1.8031,0.90518,1.32833,0.87256,0.83862,0.89601,0.50189,1.91831,0.76423,1.36783,0.0003466,0.0003466,0.0003466
